space,column_index,label_id,feature_name,unit,measurement,coverage_status,source_ids,evidence_ids,observed_source_directions,source_measurements,exact_target_measurement_effect_available,numeric_generator_effect_assigned,conflict_or_context_note,coverage_limit
AAL3,141,146,Thal_PuM_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22,S03_thalamus;S09_pulvinar;S08_PuM;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,142,147,Thal_PuA_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_pulvinar;S08_PuA;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted;S23_PuA_L,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,143,148,Thal_PuA_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_pulvinar;S08_PuA;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted;S23_PuA_R,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,144,149,Thal_PuL_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22,S03_thalamus;S09_pulvinar;S08_PuL;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,145,150,Thal_PuL_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22,S03_thalamus;S09_pulvinar;S08_PuL;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,146,151,ACC_sub_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_ACC;S02_ACC_sub_thickness;S02_ACC_sub_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,147,152,ACC_sub_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_ACC;S02_ACC_sub_thickness;S02_ACC_sub_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,148,153,ACC_pre_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_ACC;S02_ACC_pre_thickness;S02_ACC_pre_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,149,154,ACC_pre_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_ACC;S02_ACC_pre_thickness;S02_ACC_pre_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,150,155,ACC_sup_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_ACC;S02_ACC_sup_thickness;S02_ACC_sup_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,151,156,ACC_sup_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_ACC;S02_ACC_sup_thickness;S02_ACC_sup_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,152,157,N_Acc_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S01;S06,S01_Accumbens;S06_Accumbens,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,153,158,N_Acc_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S01;S06,S01_Accumbens;S06_Accumbens,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,154,159,VTA_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,indirect,S19;S24,S19_midbrain;S24_VTA_signal,higher_DBM_but_no_VBM_difference;lower,"DBM Jacobian, VBM, DTI analyzed separately;neuromelanin-sensitive VTA/SNc signal; not GM probability/intensity",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,155,160,VTA_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,indirect,S19;S24,S19_midbrain;S24_VTA_signal,higher_DBM_but_no_VBM_difference;lower,"DBM Jacobian, VBM, DTI analyzed separately;neuromelanin-sensitive VTA/SNc signal; not GM probability/intensity",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,156,161,SN_pc_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S11;S12;S24,S11_SN;S12_SN;S24_SNc_signal,higher;no_detected_difference,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged;QSM/R2* and manually delineated regional volumes are separate endpoints;neuromelanin-sensitive VTA/SNc signal; not GM probability/intensity,False,False,Whole-SN early-stage volume increase versus small-study null; pc/pr not individually resolved.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,157,162,SN_pc_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S11;S12;S24,S11_SN;S12_SN;S24_SNc_signal,higher;no_detected_difference,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged;QSM/R2* and manually delineated regional volumes are separate endpoints;neuromelanin-sensitive VTA/SNc signal; not GM probability/intensity,False,False,Whole-SN early-stage volume increase versus small-study null; pc/pr not individually resolved.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,158,163,SN_pr_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S11;S12,S11_SN;S12_SN,higher;no_detected_difference,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged;QSM/R2* and manually delineated regional volumes are separate endpoints,False,False,Whole-SN early-stage volume increase versus small-study null; pc/pr not individually resolved.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,159,164,SN_pr_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S11;S12,S11_SN;S12_SN,higher;no_detected_difference,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged;QSM/R2* and manually delineated regional volumes are separate endpoints,False,False,Whole-SN early-stage volume increase versus small-study null; pc/pr not individually resolved.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,160,165,Red_N_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S11,S11_Red_N,no_detected_difference,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,161,166,Red_N_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S11,S11_Red_N,no_detected_difference,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,162,167,LC_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,indirect,S13;S14,S14_LC;S13_LC_cells,higher;no_detected_difference,pigmented-neuron perikaryon volume and neuron count; not nucleus MRI volume;whole LC histological volume and cell morphology,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,163,168,LC_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,indirect,S13;S14,S14_LC;S13_LC_cells,higher;no_detected_difference,pigmented-neuron perikaryon volume and neuron count; not nucleus MRI volume;whole LC histological volume and cell morphology,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,164,169,Raphe_D,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,indirect,S15,S15_raphe,no_detected_difference,semiquantitative brainstem raphe echogenicity; not MRI volume,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,165,170,Raphe_M,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,indirect,S15,S15_raphe,no_detected_difference,semiquantitative brainstem raphe echogenicity; not MRI volume,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
